title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80
Imma Be,The Black Eyed Peas,dance pop,2010,92,52,60,-7,31,41,258,18,37,62
Break Your Heart,Taio Cruz,dance pop,2010,122,90,67,-5,8,63,186,0,3,33
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82
Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13,59,228,2,4,63
Just the Way You Are,Bruno Mars,pop,2011,109,84,64,-5,9,43,221,2,4,78
Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72
We R Who We R,Kesha,dance pop,2011,120,82,74,-5,12,65,205,1,4,72
What's My Name?,Rihanna,barbadian pop,2011,100,79,69,-3,8,58,263,23,7,69
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73
Raise Your Glass,P!nk,dance pop,2011,122,64,68,-7,12,56,208,0,12,38
Firework,Katy Perry,dance pop,2011,124,83,64,-5,11,65,228,14,5,25
Grenade,Bruno Mars,pop,2011,110,56,71,-7,12,23,223,15,6,75
Hold It Against Me,Britney Spears,dance pop,2011,133,72,65,-5,24,39,229,1,4,59
Born This Way,Lady Gaga,dance pop,2011,124,83,59,-5,33,49,260,0,16,73
E.T.,Katy Perry,dance pop,2011,152,87,62,-5,37,76,230,2,18,66
Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,76
Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80
Party Rock Anthem,LMFAO,dance pop,2011,130,74,75,-4,27,35,262,2,16,72
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72,-4,32,62,201,1,5,76
We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,61
Sexy And I Know It,LMFAO,dance pop,2011,130,86,71,-4,19,80,199,10,32,67
Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,13,47,242,0,3,76
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,-4,11,68,222,5,5,74
Part Of Me,Katy Perry,dance pop,2012,130,92,68,-5,7,77,216,0,4,71
We Are Young (feat. Janelle Mon e),fun.,baroque pop,2012,184,64,38,-6,8,74,251,2,8,63
